[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
حاسم|حَاسِم	<ol style="listStyleType: circle;"><li style="">decisive, critical (e.g. a critical time, critical period), crucial                            [pronunciation: ḥāsem،ḥasme]</li></ol>
حاسوب|حَاسُوْب	<ol style="listStyleType: circle;"><li style="">computer                                                                                                                                              ;(though the word كمبيوتر remains more common, the word حاسوب is becoming increasingly used in everyday speech);[pronunciation: ḥāsūb،ḥawāsīb]</li></ol>
حاسوبي|حَاسُوْبي	<ol style="listStyleType: circle;"><li style="">computerized, computer                        ;[pronunciation: ḥāsūby]</li></ol>
حاش	<ol style="listStyleType: circle;"><li style="">to gather together, gather up (ه = s.th.) (جَمَعَ ولمَّ والتقط) ;</li></ol>
حاشى|حَاْشَى	<ol style="listStyleType: circle;"><li style="">except, save</li></ol>
حاشية|حَاشِيِة	<ol style="listStyleType: circle;"><li style="">border, margin                               ;[pronunciation: ḥāšiye،ḥawāšy]</li> <li style="">marginal note, footnote                               ;[pronunciation: ḥāšiye،ḥawāšy]</li> <li style="">entourage, retinue                               ;[pronunciation: ḥāšiye،ḥawāšy]</li> <li style="">see example ;</li> <li style="">حَوَاْشِي : grounds</li></ol>
حاص	<ol style="listStyleType: circle;"><li style="">to become weary, fed up, lose one's patience                                                                       ; (حاص الرجلُ، ضجر وملّ وفرغ صبره، حاص فلانٌ، ضجر وسَئِم ومَلّ وقلِق );</li></ol>
حاص|حَاْص	<ol style="listStyleType: circle;"><li style="">to be confused, not know what to do (احتار، لم يدرِ ماذا يفعل )</li></ol>
حاصر|حاصِر	<ol style="listStyleType: circle;"><li style="">fed up, bored, sick and tired ;</li></ol>
حاصر|حَاصَر	<ol style="listStyleType: circle;"><li style="">to besiege, lay siege to (ه = s.th.)                                ;[pronunciation: ḥᾱṣɑr، yºḥᾱṣer]</li></ol>
حاصل[S]حاصل|حَاصِل[S]حَاْصِل	<ol style="listStyleType: circle;"><li style="">outcome, product                       ;[pronunciation: ḥᾱṣel]</li> <li style="">product (math)</li> <li style="">return, revenue, yield</li></ol>
حاضر|حَاضِر	<ol style="listStyleType: circle;"><li style="">having attended (ه = s.th.)                                   [pronunciation: ḥᾱḍer،ḥᾱḍrīn،ḥᾱḍrɑ]</li> <li style="">present (time, tense)                                    ;[pronunciation: ḥᾱḍer،ḥᾱḍrīn،ḥᾱḍrɑ]</li> <li style="">present (noun)</li> <li style="">present, in attendance                                             ;[pronunciation: ḥᾱḍer،ḥᾱḍrīn،ḥᾱḍrɑ][keyword]</li> <li style="">ready, prepared                                             ;[pronunciation: ḥᾱḍer،ḥᾱḍrīn،ḥᾱḍrɑ][keyword]</li> <li style="">ready-made                                   [pronunciation: ḥᾱḍer،ḥᾱḍrīn،ḥᾱḍrɑ]</li> <li style="">shows a willingness to comply with an order or request, like saying “I'm present and at your service”                                    ;[pronunciation: ḥᾱḍer،ḥᾱḍrīn،ḥᾱḍrɑ]</li></ol>
حاضر|حَاضَر	<ol style="listStyleType: circle;"><li style="">to lecture, give a lecture                                ;[pronunciation: ḥᾱḍɑr، yºḥᾱḍer]</li></ol>
حاط|حَاْط	<ol style="listStyleType: circle;"><li style="">to surround (ب = s.th.)</li></ol>
حاطط|حَاْطِط	<ol style="listStyleType: circle;"><li style="">having put, having placed</li> <li style="">low, down (of a mood)</li> <li style="">low on air (said of a tire)</li></ol>
حاف	<ol style="listStyleType: circle;"><li style="">to become weak, thin, fragile, and fall apart                             ; (تَأَكَّلَ وتفتَّت ورَقَّ);</li> <li style="">plain, without any topping or spread, plain (said of bread)                                           ; (خبزٌ حاف، أي خبزٌ بدون إدام، خبزٌ كَفْت)</li> <li style="">without milk or sugar, plain (said of tea)                                   ; (شاي حاف، لا سُكَّر فيه أو حليب);</li></ol>
حاف|حَاْف	<ol style="listStyleType: circle;"><li style="">حاف حاله : to be concerned with one's appearance (حاف حاله أو حايف حاله، أي اهتم بمظهره )                                   [pronunciation: Dr. Widad Goussous]</li></ol>
حافر|حَاْفِر	<ol style="listStyleType: circle;"><li style="">hoof</li></ol>
حافظ|حَافِظ	<ol style="listStyleType: circle;"><li style="">guardian, keeper                                      ;[pronunciation: ḥᾱfeẓ،ḥᾱfºẓīn،ḥᾱfºẓɑ]</li> <li style="">one who remembers / knows by heart                                      ;[pronunciation: ḥᾱfeẓ،ḥᾱfºẓīn،ḥᾱfºẓɑ]</li></ol>
حافظ|حَافَظ	<ol style="listStyleType: circle;"><li style="">to preserve, maintain, keep (على = s.th.)                                         ;[pronunciation: ḥᾱfɑẓ، yºḥᾱfeẓ][keyword]</li></ol>
حافور	<ol style="listStyleType: circle;"><li style="">corrosion of the teeth (تاكُّلٌ يعتري الأسنان) ;</li></ol>
حافي|حَافي	<ol style="listStyleType: circle;"><li style="">barefoot                                    ;[pronunciation: ḥāfy،ḥāfºyīn،ḥāfye]</li></ol>
حاق	<ol style="listStyleType: circle;"><li style="">to cling to (ه = s.o.) and not let go (حاق فلانٌ فلانًا، أحاط به، ولزمه ولم يتركه) ;</li></ol>
حاقة	<ol style="listStyleType: circle;"><li style="">circle (دائرة ) ;</li></ol>
حاكم|حَاكِم	<ol style="listStyleType: circle;"><li style="">ruler, governor                              ;[pronunciation: ḥākem،ḥukkām]</li> <li style="">judge, justice                              ;[pronunciation: ḥākem،ḥukkām]</li> <li style="">ruling</li> <li style="">located</li> <li style="">حاكِم + جملة : because                       ;[pronunciation: ḥākem]</li></ol>
حاكورة|حَاكُوْرَة	<ol style="listStyleType: circle;"><li style="">garden, yard                                ;[pronunciation: ḥākūrɑ،ḥawākīr]</li> <li style="">vegetable plot, kitchen garden                                ;[pronunciation: ḥākūrɑ،ḥawākīr]</li> <li style="">garden / yard that divides one house from the next                                                                            ;(only used with this meaning in some areas);[pronunciation: ḥākūrɑ،ḥawākīr]</li> <li style="">a piece of land (that has trees, like mulberry or grape trees) (قطعة ملك صغيرة مثل شكارة)</li> <li style="">a small rose               ; (جَلٌّ صغير);</li></ol>
حاكوش	<ol style="listStyleType: circle;"><li style="">fire poker, fire iron (Same as محكاش) ;</li></ol>
حاكى|حَاكَى	<ol style="listStyleType: circle;"><li style="">to talk, speak (ه = to s.o.), address (ه = s.o.)                              ;[pronunciation: ḥāka، yºḥāky]</li></ol>
حال|حَاْل	<ol style="listStyleType: circle;"><li style="">to refer (ل = to)</li></ol>
حال|حَال	<ol style="listStyleType: circle;"><li style="">state, condition                                     ;[pronunciation: ḥāl،ʔaḥwāl][keyword]</li> <li style="">case, instance                            ;[pronunciation: ḥāl،ʔaḥwāl]</li> <li style="">حال + ضمير : (one) self                                                                                                                                               ;note conjugation is generally standard:حَالَو himselfحَاْلَهْا herselfحَاْلِي myselfحَالْنَا ourselvesetc.[pronunciation: ḥāl،ʔaḥwāl][keyword]</li> <li style="">لَحَال + ضمير : by oneself, on (his) own, separately, alone (either in the sense of doing something independently or being alone)                                                                          ;وَحْدَو = لَحَاْلَو by oneself, alone[pronunciation: ḥāl،ʔaḥwāl][keyword]</li> <li style="">مِن حال + ضمير : by oneself, from oneself, on one's own hook                           [pronunciation: ḥāl،ʔaḥwāl]</li></ol>
حالبة|حَالْبِة	<ol style="listStyleType: circle;"><li style="">see example                        ;[pronunciation: ḥālºbe]</li></ol>
حالة|حَالِة	<ol style="listStyleType: circle;"><li style="">(a specific) case, condition                                     ;[pronunciation: ḥāle،ḥālāt][keyword]</li> <li style="">a case of sickness                            ;[pronunciation: ḥāle،ḥālāt]</li> <li style="">patient (in a hospital)                            ;[pronunciation: ḥāle،ḥālāt]</li></ol>
