rekan	@rekan-rekan	<p-n>noun</p-n> <ol><li>teman (sekerja)<br></li><li>kawan sepersekutuan; samasama anggota perseroan<br></li></ol>
rekan	@rekan-rekan	<p-n>noun</p-n> <p-n>archaic</p-n> tempat orang berjual beli bermacam-macam barang dagangan (seperti hasil bumi, timah, kerajinan tangan); pekan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Lokasi ini sangat baik untuk rekan</div></div>
rekan-rekan	@rekan	<p-n>noun</p-n> bentuk jamak/plural dari rekan, para rekan<div class="form_of">Form of: plural</div>
rekanalisasi	<p-n>noun</p-n> pembukaan kembali pembuluh darah yang tersumbat
rekanan	<p-n>noun</p-n> orang yang mempunyai hubungan timbal balik dalam dunia usaha atau dagang; nasabah usaha
rekapitalisasi	<p-n>noun</p-n> perubahan penting tentang sifat, jenis, dan jumlah modal saham yang beredar atau jumlah agio saham yang disetor dalam suatu perseroan terbatas, termasuk penyerapan defisit
rekapitalisasi perbankan	<p-n>noun</p-n> perubahan struktur kapital suatu bank
rekapitulasi	<p-n>noun</p-n> <ol><li>ringkasan; ikhtisar<br></li><li>ringkasan isi atau ikhtisar pada akhir laporan atau akhir hitungan<br></li><li>pembuatan rincian data yang bercampur aduk menurut kelompok utama<br></li></ol>
rekata	<p-n>noun</p-n> <p-n>archaic</p-n> kala (bintang atau rasi)
rekayasa	<p-n>noun</p-n> <ol><li>penerapan kaidah-kaidah ilmu dalam pelaksanaan (seperti perancangan, pembuatan konstruksi, serta pengoperasian kerangka, peralatan, dan sistem yang ekonomis dan efisien)<br></li><li><p-n>figuratively</p-n> rencana jahat atau persekongkolan untuk merugikan dsb. pihak lain:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia menjadi terdakwa karena rekayasa yang dilakukan tetangganya</div></div><br></li></ol>
rekayasa eksternal	<p-n>noun</p-n> rekayasa yang bersangkutan dengan hal-hal yang di luar<div class="tags"><b>management</b></div>
rekayasa genetika	<p-n>noun</p-n> rekayasa ilmu dalam cabang biologi yang berhubungan dengan prinsip keturunan dan variasi pada binatang dan tumbuhan jenis yang sama:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rekayasa genetika memang telah berhasil membuka cakrawala baru dalam dunia kedokteran</div></div>
rekayasa historis	<p-n>noun</p-n> penerapan kaidah-kaidah ilmu sejarah dalam pelaksanaan suatu pekerjaan atau proyek
rekayasa internal	<p-n>noun</p-n> rekayasa yang menyangkut bagian dalam<div class="tags"><b>management</b></div>
rekayasawan	<p-n>noun</p-n> orang yang pekerjaannya di bidang perekayasaan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia salah seorang rekayasawan yang turut serta menangani penerbangan pesawat ulang alik</div></div>
rekenan	<p-n>noun</p-n> <p-n>slang</p-n> hitungan; perhitungan
rekening aktif	<p-n>noun</p-n> rekening bank yang sering kali bermutasi berupa penyetoran atau penarikan<div class="tags"><b>economy</b></div>
rekening giro	<p-n>noun</p-n> rekening bank yang menatausahakan dana yang sewaktu-waktu dapat ditarik atau disetor oleh nasabah<div class="tags"><b>economy</b></div>
rekening koran	<p-n>noun</p-n> <ol><li>hubungan utang piutang yang secara periodik dilakukan penghitungan penyelesaian<br></li><li>rekening pribadi atau perseorangan di bank (giro)<br></li></ol>
rekening mati	<p-n>noun</p-n> rekening koran yang tidak digunakan lagi untuk penarikan dan penyetoran<div class="tags"><b>economy</b></div>
rekening tagihan	<p-n>noun</p-n> surat hak menagih pembayaran kepada pihak lain
rekes	<p-n>noun</p-n> <ol><li>(surat) permohonan<br></li><li>(surat) lamaran pekerjaan<br></li></ol>
reklamasi	<p-n>noun</p-n> <ol><li>bantahan atau sanggahan (dengan nada keras)<br></li><li>usaha memperluas tanah (pertanian) dengan memanfaatkan daerah yang semula tidak berguna (misal dengan cara menguruk daerah rawa-rawa)<div class="tags"><b>agriculture</b></div><br></li><li>pengurukan (tanah)<br></li></ol>
reklamasikan	<p-n>verb</p-n> bentuk transitif dari mereklamasikan<div class="form_of">Form of: mereklamasikan</div>
reklamasikanlah	<p-n>verb</p-n> bentuk imperatif dari reklamasikan<div class="form_of">Form of: reklamasikan</div>
reklame	<p-n>noun</p-n> pemberitahuan kepada umum tentang barang dagangan (dengan kata-kata yang menarik, gambar) supaya laku; iklan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">bus-bus kota sering ditempeli reklame</div></div>
reklasering	<p-n>noun</p-n> pengembalian kepada masyarakat atau kepada kehidupan yang biasa (seperti memberi bantuan kepada orang-orang yang baru keluar dari penjara, mengawasi orang yang dihukum dengan syarat)<div class="tags"><b>law</b></div>
reklasifikasi	<p-n>noun</p-n> pemecahan suatu transaksi dan dimasukkannya ke dalam berbagai klasifikasi sekunder, biasanya disertai dengan pemindahannya ke berbagai akun sekunder
rekognisi	<p-n>noun</p-n> <ol><li>hal atau keadaan yang diakui; pengakuan<br></li><li>pengenalan<br></li><li>penghargaan<br></li></ol>
rekoleksi	<p-n>noun</p-n> khalwat pendek selama beberapa hari<div class="tags"><b>Catholicism</b></div>
rekombinan	<p-n>noun</p-n> bentuk genetik atau keturunan yang diperoleh melalui proses pemindahan dan penyusunan gen baru yang tidak terdapat pada induk (orang tua)
rekombinasi	<p-n>noun</p-n> <ol><li>penyatuan kembali elemen<br></li><li>terdapatnya progeni dengan kombinasi gen yang lain yang terjadi karena pemilahan bebas atau pindah silang<div class="tags"><b>biology</b></div><br></li></ol>
rekomendasi	<p-n>noun</p-n> <ol><li>hal minta perhatian bahwa orang yang disebut dapat dipercaya, baik (biasa dinyatakan dengan surat); penyuguhan<br></li><li>saran yang menganjurkan (membenarkan, menguatkan):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pemerintah menyetujui rekomendasi DPR tentang kenaikan gaji pegawai negeri</div></div><br></li></ol>
rekonsiliasi	<p-n>noun</p-n> <ol><li>perbuatan memulihkan hubungan persahabatan pada keadaan semula; perbuatan menyelesaikan perbedaan<br></li><li>penetapan pos-pos yang diperlukan untuk mencocokkan saldo masing-masing dari dua akun atau lebih yang mempunyai hubungan satu dengan lain<br></li><li>ikhtisar yang memuat rincian perbedaan antara dua akun atau lebih<br></li></ol>
rekonstruksi	<p-n>noun</p-n> <ol><li>pengembalian seperti semula:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Akan dilaksanakan rekonstruksi dan pembangunan jalan baru di Jakarta, Bogor, Ciawi</div></div><br></li><li>penyusunan (penggambaran) kembali:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dalam pemeriksaan pendahuluan telah dibuatkan rekonstruksi mengenai peristiwa terjadinya pembunuhan itu</div></div><br></li></ol>
rekonstruktif	<p-n>adj</p-n> bersangkutan dengan rekonstruksi
rekonvensi	<p-n>noun</p-n> tuntutan imbal:<div class="tags"><b>law</b></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Penggugat tetap menuntut ganti kerugian kepada tergugat sepuluh juta rupiah dan menolak rekonvensi dari tergugat</div></div>
rekor	<p-n>noun</p-n> <ol><li>hasil terbaik (tercepat, tertinggi) dalam keolahragaan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rekor lari 100 m Indonesia adalah 10,8 detik; dia memegang rekor lari 400 m</div></div><br></li><li>jumlah terbanyak:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Menurut laporan Dirjen Urusan Haji, tahun ini merupakan rekor naik haji jika dibandingkan dengan tahun yang sudah-sudah</div></div><br></li><li>terbaik (tertinggi):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pulau Jawa memegang rekor produksi sapi dan kerbau</div></div><br></li></ol>
rekor ASEAN	<p-n>noun</p-n> rekor yang berlaku untuk peringkat negara di Asia Tenggara (ASEAN); hasil terbaik (tertinggi) yang pernah dicapai orang di negara Asia Tenggara (ASEAN)
rekor Asia	<p-n>noun</p-n> rekor yang berlaku untuk peringkat Asia; hasil terbaik (tertinggi) yang pernah dicapai orang di Asia
rekor dunia	<p-n>noun</p-n> rekor yang berlaku untuk peringkat dunia; hasil terbaik (tertinggi) yang pernah dicapai orang di seluruh dunia
rekor nasional	<p-n>noun</p-n> rekor yang berlaku untuk peringkat nasional (negara); hasil yang terbaik (tertinggi) yang pernah dicapai orang di dalam suatu negara (seperti Indonesia)
rekreasi	<p-n>noun</p-n> penyegaran kembali badan dan pikiran; sesuatu yang menggembirakan hati dan menyegarkan seperti hiburan, piknik:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Kita memerlukan rekreasi setelah lelah bekerja</div></div>
rekrut	<p-n>noun</p-n> <ol><li>calon serdadu (dalam tentara):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Sejak umur lima belas tahun ia sudah memasuki rekrut militer</div></div><br></li><li>anggota baru<br></li></ol>
rekrutmen	<p-n>noun</p-n> pengerahan, misal tenaga kerja:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rekrutmen 2.262 TKI dan TKW oleh sebuah perusahaan tenaga kerja ke luar negeri membuktikan sulitnya lapangan kerja di tanah air</div></div>
reksa	<p-n>noun</p-n> <ol><li><p-n>archaic</p-n> polisi<br></li><li>penjaga<div class="tags"><b>sports</b></div><br></li></ol>
rekstok	<p-n>noun</p-n> palang-palang horizontal untuk latihan jasmani<div class="tags"><b>sports</b></div>
rektifikasi	<p-n>noun</p-n> <ol><li>pembetulan kesalahan; perbaikan<br></li><li>pemurnian alkohol dengan penyulingan berulang-ulang<div class="tags"><b>chemistry</b></div><br></li></ol>
rekto	<p-n>noun</p-n> <ol><li>halaman sebelah kanan pada buku atau naskah terbuka, biasanya bernomor halaman ganjil<br></li><li>sisi pertama pada kertas cetak atau bergaris jika dilipat dan dijilid; bagian depan atau bagian muka lembaran kertas cetakan<br></li></ol>
rektor	<p-n>noun</p-n> <ol><li>ketua perguruan tinggi (universitas, institut)<br></li><li>pemimpin atau kepala di biara<div class="tags"><b>Catholicism</b></div><br></li></ol>
rekuiem	<p-n>noun</p-n> misa untuk arwah orang yang meninggal<div class="tags"><b>Catholicism</b></div>
rekuisisi	<p-n>noun</p-n> daftar isian permintaan barang atau jasa, biasanya dari unit organisasi yang satu ke unit yang lain<div class="tags"><b>management</b></div>
rekuisitor	<p-n>noun</p-n> tuntutan pemidanaan dari jaksa dalam perkara di pengadilan<div class="tags"><b>law</b></div>
rekurs	<p-n>verb</p-n> mengulang pelajaran
rel	<p-n>noun</p-n> <ol><li>besi batang untuk landasan jalan kereta api (trem dsb.)<br></li><li><p-n>figuratively</p-n> sesuatu yang lurus (baik dsb.); aturan (kebiasaan umum):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Tingkah lakunya sudah di luar rel</div></div><br></li></ol>
rel gerigi	<p-n>noun</p-n> rel kereta api bergigi (terletak di antara sepasang rel yang biasa) untuk jalan yang sangat menanjak:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Sepanjang 8 km antara stasiun Jambu-Semarang dipasang rel gerigi</div></div>
rel tunggal	<p-n>noun</p-n> rel yang hanya terdiri atas satu alur batang besi (bukan sepasang)
rela	<p-n>verb</p-n> <ol><li>bersedia dengan ikhlas hati:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Aku rela mati membela tanah tumpah darahku</div></div><br></li><li>izin (persetujuan); perkenan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Kedatangan saya ini hendak meminta rela tuan</div></div><br></li><li>dapat diterima dengan senang hati:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Semua itu kuberikan kepadamu dengan rela</div></div><br></li><li>tidak mengharap imbalan, dengan kehendak atau kemauan sendiri:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dengan suka rela</div></div><br></li></ol>
relai	<p-n>noun</p-n> <ol><li>siput mutiara<br></li><li>rusak berpisah-pisah (tentang kayu) karena lapuk dan busuk<br></li></ol>
relakan	<p-n>verb</p-n> bentuk transitif dari merelakan<div class="form_of">Form of: merelakan</div>
relakanlah	<p-n>verb</p-n> bentuk imperatif dari relakan<div class="form_of">Form of: relakan</div>
relaks	<p-n>adj</p-n> santai, tidak tegang:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Mereka duduk relaks</div></div>
relaksasi	<p-n>verb</p-n> pengenduran, pemanjangan (tentang otot)
relang	<p-n>noun</p-n> kilap; gilap
relang	<p-n>noun</p-n> lingkaran (selang-selang) pada rotan
relap	<p-n>noun</p-n> kilau; kilap; kilat
relasi	<p-n>noun</p-n> <ol><li>hubungan; perhubungan; pertalian:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Banyak relasi (dengan orang lain)</div></div><br></li><li>kenalan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Banyak relasinya di kalangan atas</div></div><br></li><li>pelanggan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Pelayanan kepada relasi harus baik</div></div><br></li></ol>
relatif	<p-n>adj</p-n> tidak mutlak; nisbi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">produksi dalam negeri dijual dengan harga -- murah</div></div>
relativisasi	<p-n>noun</p-n> hal memperlakukan atau menganggap sesuatu itu relatif
relativisme	<p-n>noun</p-n> pandangan bahwa pengetahuan itu dibatasi, baik oleh akal budi yang serba terbatas maupun oleh cara mengetahui yang serba terbatas
relativitas	<p-n>noun</p-n> hal (keadaan) relatif; kenisbian
relau	<p-n>noun</p-n> tungku peleburan timah
relban	<p-n>noun</p-n> jalan kereta api
relevan	<p-n>adj</p-n> kait-mengait; bersangkut-paut; berguna secara langsung:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ceramahnya tidak relevan dengan apa yang dibutuhkan oleh peserta penataran</div></div>
relevansi	<p-n>noun</p-n> hubungan; kaitan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Setiap mata pelajaran harus ada relevansinya dengan keseluruhan tujuan pendidikan</div></div>
reli	<p-n>noun</p-n> <ol><li>perlombaan kendaraan (mobil, sepeda, dsb.) di jalan umum dan biasanya tunduk pada peraturan lalu lintas dalam menetapkan kecepatan rata-rata:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Reli mobil Jawa-Sumatra itu melibatkan pembalap kawakan dalam dan luar negeri</div></div><br></li><li>berjalan (berkendaraan) berbanyak di jalan-jalan untuk menunjukkan kekuatan massa, unjuk rasa<br></li></ol>
reliabel	<p-n>adj</p-n> andal<br><div>Synonyms: <p-a>aman</p-a></div>
reliabilitas	<p-n>noun</p-n> <ol><li>perihal sesuatu yang bersifat reliabel (bersifat andal)<div class="tags"><b>politics</b></div><br></li><li>ketelitian dan ketepatan teknik pengukuran; keterandalan<br></li></ol>
relief	<p-n>noun</p-n> <ol><li>pahatan yang menampilkan perbedaan bentuk dan gambar dari permukaan rata di sekitarnya<br></li><li>gambar timbul (pada candi dsb.)<br></li><li>perbedaan ketinggian pada bagian permukaan bumi<br></li></ol>
religi	<p-n>noun</p-n> kepercayaan kepada Tuhan; kepercayaan akan adanya kekuatan adikodrati di atas manusia; kepercayaan (animisme, dinamisme); agama:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Kesalehan dapat diperoleh melalui pendidikan religi; masyarakat terasing itu juga mengenal religi tertentu, misal dengan menyembah petir</div></div>
religiositas	<p-n>noun</p-n> pengabdian terhadap agama; kesalehan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Orang kuat itu mungkin tidak begitu kuat, tetapi kadar religiositas amat tinggi</div></div>
religius	<p-n>adj</p-n> bersifat religi; bersifat keagamaan; yang bersangkut-paut dengan religi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia sangat terkesan akan kehidupan religius di Indonesia</div></div>
relik	<p-n>noun</p-n> makhluk, populasi, atau masyarakat yang merupakan peninggalan zaman purba yang dapat bertahan diri
relikui	<p-n>noun</p-n> barang peninggalan orang suci yang dianggap berharga; benda-benda keramat
relokasi	<p-n>noun</p-n> pemindahan tempat:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rencana relokasi industri di daerah itu segera diwujudkan</div></div>
reluk	<p-n>noun</p-n> keluk; lekuk; luk
relung	<p-n>noun</p-n> lekuk atau jeluk (di tanah, di lereng gunung)
relung	<p-n>noun</p-n> <p-n>archaic</p-n> ukuran luas tanah (ada yang kira-kira 5.300 m3 kubik, dan ada yang kira-kira 2.800 m3)
