A	 pronounced a as in fat. 
-kundama (kundami or kundamile)	v.i. to shelter oneself, to find shel- ter, to take refuge. der. nekunda, mukunda. rel. -kundamela (kunda- mezi) fig. to lie in ambush. caus. -kundamisa (kundamisize) to cause to ~. 
-kundeka (kundekile)	v.t. to hide, to put in a safe place or shelter rel. -kundekela (kundekezi) to ~ for someone. 
-kunduluka (kundulukile)	v.i. to move stealthily in order to pass unobserved. rel. -kundulukela (kun-dulukezi) to ~ in or at (a place) caus. -kundulukisa (kundulukisize) to take something unobserved. 
-kundumana (kundumani or kundu-manine)	v.i. to be hunch-backed syn. -tundubala. caus. -kundumanisa (kundumanisize) to cause some-one's deformity. 
-kundumbwa (kundumbwile) 	v.i. to move along gracefully with the (African) skirt swaying. der. nali-kundumbwa. 
-kundunga (kundungile)	v.t. to stir with a stick or a spoon (food and liquids). der. mukundungi, sikun-dungiso' mukundungelo. cf: -silula. rel. -kundungela (kundungezi) to ~ for someone caus. -kundungisa (kandungisize) to order or to help someone to ~. 
kunduyamana (makunduyamana) 	n. Luyana. Iarge wild animal (eland, buffalo, etc ..) syn. Iikunduya-mana. 
-kunga (kungile) or -kungushula (kungushuzi)	v.t. to gather, to col- lect, to muster. 
-kungula (kunguzi)	v.t. to take (a spear, a stick, etc . ) in order to stab or to beat. rec. -kungulelana (kqngulelani or kungulelanile) (each) to take spears or sticks in order to stab or to beat each other 
-kunguluka (kungulukile)	v.i. to come together, to assemble in great numbers (people, cattle, etc . ) rel. -kungulukela (kungulukezi) to ~ somewhere: Sicaba kaufela si kungulukezi ku Litunga, all the people have gone to sce the Li-tunga 
-kungumuna (kungumuzi)	v.t. to call together, to collect (people or cattle) rel. -kungumunela (kungu-munezi) to ~ for a purpose int. -kungumunelela (kungumunelezi) to collect all without exception. caus. -kungumunisa (kungumunisize) to order or to help someone to ~. 
-kungushula (kungusbuzi)	v.t. sce: -kongoshola. 
-kunka (kunkile)	v.t. to light a large fire (travellers in the forest) caus. -kunkisa (kunkisize) to order or to help someone to ~. 
-kunkulika (kankulikile)	v.i. to roam about, to wander all over (as someone unable to stay any-where): Mwanana yo u kankulika hahulu, this child is going about too much caus. -kunkulikisa (kan- kulikisize) to cause someone to ~ (expecially young children). der. mukunkuliki. 
-kunkumuna (kunkumuzi)	v.t. to shake the branches of a tree, to make leaves or fruit fall: Moya cwale u so kunkumuna matali a likota, the wind is already making the leaves fall from the trees. 
kuno–u,	adj. brown (male cattle) With reference to women or female cattle: kunwana. (See: bu-kano–u.) 
kunu, noun taken adverbially: in an unknown way	syn. itekelelwa' muye- muye, nakuwana. 
-kunuka (kunukile)	v.i. to fall down (pot) causing the spilling of a liquid 
-kununa (kunuzi)	v.t. to push a pot, causing the spilling of a liquid. 
-kunupa (kunupile)	v.t. to fire a gun; to throw, to shoot (a stone, etc) at someone or something: ku kueupa linyunywani, to shoot birds. der. mukanupi, mukunupelo. syn. tunya. rel. -kunupela (kunupezi) to shoot for someone. caus. -kunupisa (kunupisize) to cause someone to shoot ref. a) -ikunupa (ikunupile) to shoot oneself. b) -ikunupela (ikunupezi) to shoot (birds, ani-mals) for oneself. 
kunupo (likunupo)	n. button (see: -–omela). 
kunutu (likunutu)	n. secret, confi-dential matter: Mu sike mwa bulela likunutu kwa batu, don't reveal se-crets to anyone 
kunwa (bo-)	gen. n. barbet (birds) 
kunwana,	adj. (See: kuno–u above.) 
-kunyeka (kunyekile)	v.t. (1) to smoke or dry by the fire (fish, meat, tobacco, etc...). (2) to make someone work overtime; to delay people by talking (or preaching) too long: Kacenu u lu kunyekile, today he has made us work late. rel. -kunyekela (kunye-kezi) to ~ for someone 
-ku–a (ku–ile)	v.i. to shake with fear, to tremble, to shiver rel.- kunela (kunezi) to shake with anger on account of someone, to be cross wlth someone; to shiver with desire or through being over- joyed: U ku–ela lisholi le li uzwize kubo ya hae, he is shaking with anger at the thief who stole his blanket caus. -ku–isa (kuiiisize) to cause someone to tremble or shiver. 
-ku–ama (ku–ami or ku–amile)	v.t. to catch and hold fast (as a thief caught in the very act). 
-ku–ukela (ku–ukezi)	v.t. to hold someone strongly by the hand. 
-ku–ula (ku–uzi)	v.i. to speak (with reference to the chief) 
-kunula (kunuluzi)	v.t. to liberate someone from the effect of a mal- ediction due to a spell. der. muku-–ululi, 
-ku–wela (ku–wezi)	v.t. to clear a forest garden of the bush which keeps growing in it. rel. -ku–welela (ku–welezi) to ~ for someone caus. -ku–welisa (ku–welisize) to I order or to help someone to ~. 
-ku–weta (ku–wetite or ku–wetile)	v.t. to cast a spell (witchcraft) inv. -ku–ulula (ku–uluzi) sce: -ku–ulula. der. siku–u, muku–u. 
-kuomboka 	n. name given to the Lozi ceremony when people vacate flooded plains for dry higher land. 
-kupa1 (kupile)	v.t. to beg, to ask for, to request: Ni kupa sEco, I beg for food; U kupa sibaka, he asks for permission; ba kupa kelezo ku mina, they request your advice. der. mukupi, kupo, mukupelo. rel. -kupela (kupezi) to ask on behalf of someone. caus. -kupisa (kupisize) to cause someone to ask for; to ask in the name of someone without his f knowledge: Se si ni kupisa lico ki tala, it is hunger that makes me ask for food; U sike wa yo ni kupisa, u yo kupa ili wena, don't ask in my name, ask for yourself. ref. -lku- pela (ikupezi) to present one's own request 
kupa2 (likupa)	n. empty snail shell. syn. –ongolo. 
kupo (likupo)	n. request, applica tion, prayer. (from: -kupa) 
kupuka2 (kupukile)	v.i. to go with the current (as fish spreading with flood water); to float along (as maize cobs from flooded gardens). 
kupuka2 (kupukile)	v.i. to become rich, well off, prosperous: Musho- kabanji ne li njebwe, kacenu sa kupu-kile bake–i sa ka Cola mail ama–ata; Mushokabanji was a poor man, but he is well off today due to the large salary he is drawing. caus. -kupula (kupuzi) to enrich, to make wealthy. 
-kupula (kupuzi)	v.i. & v.t. to jump with a stroke of the tail (fish); to strike with the tail (with reference to a crocodile taking its prey into water). 
kupuliso (likupuliso)	n. reminder. (from: -hupula) syn. kupuzo. 
kupulo (likupulo)	n. thought, inten-tion, mind: Ni na ni kupulo ya ka yaha ndu unomwaha, it is my inten-tion to build a house this year. (from: -hupula). 
kupuzo (likupuzo)	n. reminder memorial, remembrance: Sikolo sa Munali ki kupuzo ya David Living-stone, Munali School is a mem-orial to David Livingstone. (from: -hupula). 
-kusha (kushize)	v.t. to shake a cala-bash into which water has been poured to clean it. rel. -kusheza (kuhelize) to ~ for someone, to ~ In a certain place: Uyo kusheza sih-wana kwa liabwa, go and wash the. calabash at the canal. 
kushoni (likushoni)	n. Eng. cushion. 
-kushuka (kushukile)	v.i. to break-fast. der. mukushuko. caus. -kushu- kisa (kushukisize) to give someone food for his breakfast. 
-kushula1 (kushuzi)	v.t. to eat food (as sweet potatoes or roasted cas-sava roots) and drink milk by turns. caus. -kushulisa (kushulisize) to alternate food and drink. 
-kushula2 (kushuzi)	v.t. to take off the pulp of leaves (sisal, aloe, etc.) to get the fibres. (see: lukushe). 
kusili,	adv. elsewhere, somewhere else; in an other way or manner Ha lo yi kwa Serbia, lo ya kusili; we are not going to Sefula, we are going somewhere else; Mo ba sebe-leza ki kusili, the way they do it is different. 
-kusufala (kusufezi)	v.i. to be short. caus. -kusufaza (kusufalize) to shorten. 
kuswani,	adj. short (in time or space): mazazi amakuswanifela, a few days only, a short time; sibaka sesikuswani, a short distance. mute yomukuswani, a short person. 
kuta1 (likuta or makuta)	n. public court, tribunal, council: mwa kuta in the court-house; ka isana kwa kuta, to go to law, to litigate, to carry on a lawsuit. 
-kuta2 (kutile) 	v.t. to curse, to wish evil upon, to utter imprecations: Ku maswe mushemi ka kuta mwan'a Rae, it is bad for a parent to invoke evil upon his child. der. mukuti, sikut. syn. -ndandala. rel. -kutela (kutezi) to curse on account of, or on someone's behalf. caus. -kutisa (kutisize) to subject someone to a curse, to cause misfortune to someone. ref. -lkutisa (ikutisize) to make oneself liable to a curse. 
kuta3 (kutile) 	v.t. Eng. to give a hair cut; to shear (sheep): KimanEya mi Utile? who has cut your hair? der. mukuti, mukutelo, sikutiso. syn. -kukula. rec. -kutana (kutani or ku-tanile) to cut each other's hair. ref. -lkuta (ikutile) as rec. 
kuta4 (kutile)	v.i. to return, to go heck. to rome hong: Haiba mu funduka kacenu, mu ka kuta lili? if you j L go today, when will you come back? syn. -menuha. fig. to die of old age. syn. -holoha. der. kutisano. rel. -kutela (kutezi) to go back to to return to: U kutezi kwa hae mabani, he went back home yesterday. pass -kutelwa (kutezwi) followed by 'ki': to gain, to profit, to obtain a compensation: Ha ni kutelwi ki sesinwi mwa tekiso ya ka, I get no profit from my sales. caus. -kutisa (kutisize) (1) to take back, to send or give back, to return: I<:amuso ni ka kutisa mukeke wa mina, I shall return your plate to-morrow- (2) to be profitable: Mu- sebezi o kutisa Mali, a profitable job. spec. exp. Ku kutisa moya, to recover from a fainting fit; ka kutisa mahutu, to go back (with ref-erence to a bride visiting her parents after the wedding); ka kutisa musali, to remarry a former wife; ka kutisa ndu ya wa habo mute, to marry the widow of a dead rela-tion rec. -kutisana (kutisaniJ to become reconciled. 
-kuta5 to	shrink: Hembeya ka ikutile my shirt has shrunk 
-kutaza (kutalize)	v.t. to exhort, to urge to good deeds; to preach. der. mukutazi, kutazo. 
kutazo (likutazo)	n. exhortation; re-ligious message. (from: -kutaza) cf. tuto. 
-kuteka (kutekile)	v.t. to show re-spect, to, to honour: Kuteka nda- taho ni maho, honour your father and your mother. der. Iikute. syn. -tompa. rel. -kutekela (kutekezi) to ~ on account of stat. -kutekeha (h tekehile) to be honoured. rec. -ku-tekana (kutekani) to honour each other freq. -kutekanga to have the habit of showing respect. ref. -iku-teka (ikutekile) to have self-re-spect. 
-kutekela (kutelezi)	v.t. (1) to con-sent for politeness sake (2) to accuse falsely U sike wa kutelela mute ka sa sika eza, don't accuse anyone without sufficient grounds der. kutululo. inv. -kutulula (kutu-luzi) to bring to light someone's guilt. 
kuti, see:	kutwi. 
kutisano,	n. reconciliation (from:-kuta) 
kuto (likuto)	n. full stop (between sentences) (.) 
-kutula1 (kutuzi)	v.t. to harvest, to reap, to gather in: Unomwaha lu kutuzi lico zenata, this year we ga-thered in good crops. der. muku-tuli, mukutulisi, kutulo, sikutulelo. rel. -kutulela (kutulezi) to ~ for someone caus. -kutulisa (kutuli-size) to order or to help to ~ int. -kutulelela (kutulelezi) to gather in the whole crop. 
kutula2 (likutula)	n. stout, strong healthy man. 
kutulo (likutulo)	n. harvest (from: -kutula) 
kutululo,	n. evidence (from:-kute- | Bela) l 
-kutumana (kutumani or kutumanine)	v.i. (1) to be silent, pensive, quiet: Mu sike mwa kutumanafela, |mu no ambola, don't keep so quiet, make conversation. (2) to be eased, relieved: Butuku be kutu- manifela, the pain is only tempo- rarily eased cf: -ulumana. caus. -kutumanisa (kutumanisize) to cause someone to keep quiet; to alleviate pain. 
kutwana (likutwana)	n. colon (:) syn. koloni. 
kutwano (likutwano)	n. concord, harmony, agreement (from: -utwa). 
kutwelo-butuku,	n. pity, compassion (from -utwa). kutwi or kuti, expression meaning: it is said, they say, etc.: Ni utwile fela kutwi, ha ni sika utwa hande, I have just heard people saying so, I cannot affirm it. Kutwi cwaiii? what do you say? what do you mean? 
kutwisiso,	n. understanding, intelli-gence. (from: -utwa). 
-kuwa1 (kuwile)	v.t. Luyana. to shout. syn. -huwa. der. kakuwa. 
-kuwa2 (kuwile)	v.i. to come to an end, to be finished (with reference to fruit when the season is over): Miselo i se i kuwile mwa mushitu the wild fruit are already finished in the forest. 
kuwani (likuwani)	n. hat, head-dress. 
-kuwela (kuwezi)	v.t. to drive cattle beating them, in order to make them go quickly. fig. to use strong means to gather people together. 
kuye-kuye,	adv. in the distant future. idiom. exp: Kuye-kuye ni wena konji u swane ni na, one day in the distant future, we shall all be the same. (lit: in the distant future you will not avoid being in the same position as myself ... we shall all be dead!). 
-kuyuka (kuyukile)	v.i. to become soft, worn, thin through use: Lisila le se li kurukile. this cloth has al-ready become thin. fig. to cool down, to subside: Buhali bwa hae bu kuyukile. his anger has subsided. caus. -kuyula (kuyuzi) to soften. fig. to make cool, to moderate, to pacify. 
-kuyula (kuyuzi)	v.i. to grumble to be discontented. dissatisfied. un- grateful: Ku maswe ku/i kafa wa ca. kafa wa kurula, it is impolite to grumble about hunger while eating. der. mukuvwe. 
-kuza (kuzize)	v.i. to become or keep silent, to hold one's tongue. to cease crying: A mu kuze kaufela mina, please be silent all of you. fig. to cease blowing (wind); to be calm (river): Kacenu ku kazize hakuna mova, today it is cahn, there is no wind; U sabafela ku ,vi/a, nuka i kuzize! he just fears to cross, for the river is quite calm. rel. -kuzeza (kuzelize) to keep pur-posely silent. caus. -kuzisa (kuzi-size) to make silent, to appease, to quieten, to calm: Banana a mu kuze! children stop this noise! 
kuzana (likuzana)	n. Sotho. orphan. syn. ndiyala. 
kwa1,	prep. to, from, in, at: there: some of: Ni ya kwa naka, I am going to the river: Llu ya kwa baluti, we are going to the teach- ers: Ba zwa kwa Nalolo, they come from Nalolo Banana ba yo tapa kwa nuka, the children are going to swim in the river: Mu ta mufumana kwa Lealui, you will find him at Lealui: Mo nife kwatei1i, give me some of it: etc . .. 
kwa2,	adv. of place. (a) used on its own: Niya kwa, I am going there. (b) used to form compound ad-verbs of place (or prepositions) such as: kwahalimu, kwatasi, kwa-tuko, etc . . . (see under such ad- verbs or prepositions). 
kwa3,	indef. pron. some (of): Mu nife kwa sico sa mina, give me some of your food please. 
-kwa4 (kwile)	v.i. (1) to spit. fig. to give up bad manners: U .vi kwe.' give up doing so: beware! (2) to be weaned: Mbututu vo na sa lukeli ku kwa nako ve, this baby should not have been weaned at this time. cf. -umuka. rel. -kwela (kwezi) to spit on, or in the direction of: ku kwela fafa.vi, to spit on the ground. idiom. exp. ku kwela mutu mati, to bless someone (blessing given by parents or elders) caus. -kwisa (kwisize) to make someone spit; to wean fig. to make someone give up an evil habit 
-kwaa (kwaile)	v.t. (1) to spread fame to make someone famous: Mute yo ba mu kwaa ka bunde, they speak highly of that person; (2) to spread malicious report, to defame: Mute yo ba mu kwaa ka bu-maswe. they speak evil of that person der. Iukwaa. 
-kwaaela (kwaaezi)	v.i. to be uncon-querable Manna yo wa kwaaela, hakuna ya kona ka mu bita; this man is very strong, no one can throw him down. 
kwaba1 (likwaba)	n. Eng. guava 
